19.1.1	doṣo gāya bṛhad gāya dyumad gāyātharvaṇa | stuhi devaṃ savitāram ||
19.25.2	yathāhiṃ dveṣṭi puruṣo ahir vā dveṣṭi puruṣam | girir vām astv antarā yathā vāṃ na sahāsati ||
19.25.3	nānāni vām ākūtāni nānā cittāni santu vām | viṣvañcau pary ā vartethāṃ yathā vāṃ na sahāsati ||
19.25.4	atra dve kamale dve tuṇḍe na maśīkataṃ taṃ galāpate | bhaṅgalāpato (⟨ bhaṅgurāvato) daha ||
19.25.5	etad yat te yad vā yad vā na cāsan no ca te bhavat | svapne vittaṃ yathā dhanaṃ naśyād id etad etataḥ ||
19.25.6	āgilo gilāpāpacito gila | naśyād bradhnakam arbhakam ||
19.25.7	dīrghāyutvāya sahase mahyā ariṣṭatātaye | suparṇo mahyam abravīd etad āśliṣṭabheṣajam ||
19.25.8	saktūn iva titaünā punanto vidvāṃso vācam akrata | aṅgebhyo viśvāṅgebhyaḥ pra te chinadmy āśliṣṭam ||
19.25.9	avacchindhy āśliṣṭam ūrvā hy asi bheṣajī | divyaḥ suparṇo abravid etad āśliṣṭabheṣajam ||
19.25.10	abhibhūr aham āgamaṃ viśvakarmā svāyudhaḥ | ahaṃ mitrasya kalpayann āsv āśāsu duṣṭaraḥ ||
19.25.11	ahaṃ samityayano ahaṃ viśāṃ purohitaḥ | ahaṃ mitrāṇi kalpayan mayi vāg astu dharṇasī ||
19.25.12	ā vaś cakṣur ā vo vācam ā vaḥ samitiṃ dade | yogakṣemaṃ va ādāya- -ahaṃ bhūyāsam uttamaḥ ||
19.25.13	brahmaṇāgniḥ saṃvidāno rakṣohā nudatām itaḥ | arāyo yas te tanvaṃ durṇāmā yonim āśaye ||
19.25.14	yas te 'rāyas tanvaṃ durṇāmā yonim āśaye | agniṣ ṭaṃ brahmaṇā yujā rakṣohā nudatām itaḥ ||
19.25.15	yāny abhvāni rakṣāṃsi ye 'rāyā yātudhānyaḥ | agniṣ ṭvā śagmayā tanvā rakṣohā pātu tebhyaḥ ||
19.26.1	agniś ca deva savitar iṣam ūrjaṃ dadhānau | pātaṃ mā duścaritād ā mā sucarite bhajataṃ yuvayor avasā sumnam aśīya ||
19.26.2	idaṃ tad upa yuva idaṃ tad upa hvaye yac chuśrumā tvat pari | vācaspatir ni yacchatu mayy evāstu mama śrutam ||
19.26.3	māpatyāya steyaṃ karaṃ mā śrutena vi rādhiṣi | amogham asmākaṃ śrāntam agne draviṇavat kṛdhi ||
19.26.4	madhyameṣṭhā varcasvatyā- -āyuṣe varcase kṛtam | vanuṣva viśvadeveṣu vanuṣva tvaṃ bṛhaspatau ||
19.26.5	ghṛtena prajāṃ vanute ghṛtena rayim aśnute | ghṛtenāyuṣyaṃ varcasyaṃ devebhyo vanute pari ||
19.26.6	parjanya pippalās tubhyaṃ nadyo garbhaṃ svastaye | maryādā brahmadevīr āyuṣyaṃ varca āsican ||
19.26.7	yathā hastī hastinyāḥ padena padam anv agāt | evā tvam aghnye vatsasya padena padam anv ihi ||
19.26.8	yathā rathasya cakre vi pathaḥ pāṃsum asyathaḥ | evā mano vy asyāmi hṛdayaṃ vananāya kam ||
19.26.9	indrasya prathamaṃ vaco devānām aparaṃ vacaḥ | tṛtīyam aśvinor vacas tena gāṃ vānayāmasi ||
19.26.10	ud itaḥ śyāvau vithurau divaṃ gṛdhrāv iveyathuḥ | śocanāv atiśocanāv asyocchocanau hṛdaḥ ||
19.26.11	śocayābhi śocayā dīpayopa dīpaya | aher agne viṣaṃ tvaṃ tṛṇam iva kalvalaṃ daha ||
19.26.12	sīdataṃ niṣattārāv avetaṃ mod gatam | kṛṣṇā vāṃ gauḥ sārasvatī ||
19.26.13	yathā rātrī kṛṣṇatamā gauḥ kṛṣṇā kṛṣṇavartaniḥ | śācīḥpyavo yathā rūpam evedaṃ māmakaṃ śiraḥ ||
19.26.14	yathāṅgaro 'bhiṣikto darvidāko yathāsitaḥ | anuṣyaṅgasya kalmaṣam evedaṃ māmakaṃ śiraḥ ||
19.26.15	yathā dāvād dahyamānāt kṛṣṇo jvālo 'padhvaṃsate | naiṣād asya yathā mukham evedaṃ māmakaṃ śiraḥ ||
19.27.1	yat kiṃ cāsau manasā yac ca vācā yajñair juhoti haviṣā yajurbhiḥ | tan mṛtyunā nirṛtiḥ saṃvidānā purā dṛṣṭād ājyaṃ hantv asya ||
19.27.2	yātudhānā nirṛtir ād u rakṣas te asya ghnantv anṛtena satyam | indreṣitā ājyam asya mathnantu mā tat saṃ pādi yad asau juhoti ||
19.27.3	pari tvāgne puraṃ vayaṃ vipraṃ sahasya dhīmahi | dhṛṣadvarṇa divedive hantāraṃ bhaṅgurāvatām ||
19.27.4	svarjid adhirājau śyenau saṃpātināv iva | ājyaṃ pṛtanyato hataṃ yo asmān pṛtanāyati ||
19.27.5	pṛthivyai vanaspatibhya oṣadhībhyo 'gnaye 'dhipataye svāhā ||
19.27.6	antarikṣāya prāṇāya vayobhyo vāyave 'dhipataye svāhā ||
19.27.7	dive cakṣuṣe nakṣatrebhyaḥ sūryāyādhipataye svāhā ||
19.27.8	pippalyaḥ sam avadanta- -āyatīr jananād adhi | yaṃ jīvam aśnavāmahai na sa riṣyāti pūruṣaḥ ||
19.27.9	pippalī kṣiptabheṣajy utāvaviddhabheṣajī | tāṃ devāḥ sam akalpayann alaṃ jīvātavā iti ||
19.27.10	asurās tvā ny akhanan devās tvod avapan punaḥ | vātīkṛtasya bheṣajī pippalī kṣiptabheṣajī ||
19.27.11	yad ulūko vadati mogham etad yat kapotaḥ padam agnau kṛṇoti | yasya dūtau prahitāv idam eyathus tasmai yamāya namo 'stu mṛtyave ||
19.27.12	yas te dūto nirṛta ājagāma- -aprahitaḥ prahito vā gṛhaṃ naḥ | kapotolūkāv apadaṃ tad astv avairahatyam idam ā jagantha suvīratāyā idam ā sasattha ||
19.27.13	yaḥ prathamaḥ pravata āsasāda bahubhyaḥ panthām anupaspaśānaḥ | ya īśe asya dvipado yaś catuṣpadas tasmai yamāya namo 'stu mṛtyave ||
19.27.14	yathāsitaḥ prathayate vaśām̐ anu vapūṃṣi kṛṇvann asurasya māyayā | evā me śepaḥ sahasāyam arka enāṅgena saṃsamakaṃ kṛṇotu ||
19.27.15	yāvad aṅgīnaṃ pārasvataṃ hāstinaṃ gārdabhaṃ ca yat | yāvad aśvasya vājinas tāvan me vardhatāṃ pasaḥ ||
19.27.16	yathā pasas tāyādaraṃ vātena sthūlabhaṃ kṛtam | yāvat parasvataḥ pasas tāvan me vardhatāṃ pasaḥ ||
19.28.1	yasyedam ā rajo yujas tuje janaṃ vanaṃ svaḥ | indrasya nādhṛṣe śavaḥ ||
19.28.2	dhṛṣāṇaṃ dhṛṣataḥ śavaḥ purā yathāyatiṣṭhan | indrasya rantyaṃ mahat ||
19.28.3	sa no dadhātu taṃ rayiṃ puruṃ piśaṅgapeśasam | indraḥ patis tuviṣṭamo janeṣv ā ||
19.28.4	āyur agna ihā vaha jātavedas tanūvaśin | yathāhaṃ jyog ihāsāni prajānām adhipā vaśī ||
19.28.5	āyur indro dadhātu ma āyur devo bṛhaspatiḥ | āyur me viśve devā ahorātre ca cakratuḥ ||
19.28.6	āyur āyuṣyā pavatāṃ prāṇaṃ prāṇo dadhātu me | devā yac cakrur devebhyaḥ svar yanto yathāyatham ||
19.28.7	utpatantu nabhasvatīḥ samudrād adhi ghoṣiṇīḥ | utsyāḥ samudriyā apas tābhiṣ ṭvā tarpayāmasi ||
19.28.8	yā āpo divyā yā vātāt parijajñire | indro marutvāṃs tṛptātmā tābhiṣ ṭvā tarpayāmasi ||
19.28.9	yāḥ śuṣkā yā hariṇīr yā bhūmim anuvāvṛdhuḥ | sarvāḥ samagrā oṣadhīs tābhiṣ ṭvā tarpayāmasi ||
19.28.10	ā no medhā sumatir viśvarūpā giro bṛhatīr āveśayantī | ṛco me bahvīr ny anaktu gā iva yathāsāma bhuvaneṣu karṇinaḥ ||
19.28.11	dīkṣā tapo manaso mātariśvā bṛhaspatir vāco asyāḥ sa yoniḥ | vedāṃsi vidyā mayi santu bahvīr agnīṣomā yaśo asmāsu dhattam ||
19.28.12	yad agne tapasā tapa upaprekṣāmahe vayam | priyāḥ śrutasya bhūyāsma- -āyuṣmantaḥ sumedhasaḥ ||
19.28.13	yas tvā mātur uta vā pituḥ parijāyamānam abhisaṃbabhūva | taṃ tvad yakṣmam adhi nāśayāmaḥ so 'nyasmiṃ chrayātai praviṣṭaḥ ||
19.28.14	yas te yakṣmo hṛdayeṣṭho nābhiṣṭhā udaraṃgamaḥ | atho yaḥ śiśriye parau taṃ tvad yakṣmam adhi nāśayāmaḥ so 'nyasmiṃ chrayātai praviṣṭaḥ ||
19.28.15	śīrṣarogam aṅgarogaṃ snāvabṛham abhiśāciṃ visalpakam | yas te yakṣmo majjasu paruḥsu yo gudāsu taṃ tvad yakṣmam adhi nāśayāmaḥ so 'nyasmiṃ chrayātai praviṣṭaḥ ||
19.29.1	agnī rakṣohā tigmas tigmaśṛṅgo hantu rakṣo nudatām arātim | apāghaśaṃsam asyatu ||
19.29.2	ā ta etu parāvato balam ojo divas pari | ā giribhyaḥ parvatebhya āyuṣ ṭe viśvato dadhat ||
19.29.3	punas te 'suṃ pṛthivī dadātu punar dyaur devo punar antarikṣam | punas te somas tanvaṃ dadhātu punaḥ pūṣā pathyāṃ yā svastiḥ ||
19.29.4	kaṣkiṣā kaṣpiṣā yevāṣā eṣā | iṣṭargava iṣayantaḥ saikatāḥ pāṃsavāḥ ||
19.29.5	adṛṣṭān na dṛṣṭān | dṛṣṭām̐ adṛṣṭān dhanapate jahīndrasya vadhena ||
19.29.6	etāś ca viśvarūpāś ca gṛdhrāḥ kokāś ca te hatāḥ ||
19.29.7	kāme kāmayasva mā pratīcī prati mā bhava | mām anu pra te mano vatsā pākeva dhāvatu ||
19.29.8	abhīle abhimādany asau mām abhi mādyatu | vidma patatriṇyā vayam iṣuke nāmakaṃ tava ||
19.29.9	ahaṃ te mana ā dade mano manomuṣir yathā | mayi te mana āhitaṃ ratha iva rathavāhane ||
19.29.10	ud asau sūryo agān mahyam avatunā saha | ahaṃ viśāṃ purohito madhuhasto madhujihvo mayi vāg astu dharṇasī ||
19.29.11	ahaṃ viśyena ketunā samakṣye mānuṣeṣv ā | asmākam astu kevalaṃ bṛhad diśo adhi viśveṣu rājasu ||
19.29.12	svādoś cin mā svādīyāṃsaṃ madhoś cin madhumattaram | priyāś cit sakhyur antaram ādityāsaḥ kṛṇota mā ||
19.29.13	agne brahma tvaṃ brahmāsi viddhi tvaṃ prāsmabhyaṃ brūhi | yadīdaṃ tathā bhaviṣyasi yadi vā nāthaitasya haviṣo vīha svāhā ||
19.29.14	vi pṛcche dyāvāpṛthivī vīndraṃ vi bṛhaspatim | vi devān yajñiyān pṛcche vy asaṃ jīvanāya kam ||
19.29.15	vijñānāyodyatā prastutā srug iyaṃ yama rājan havir idaṃ juṣasva | agatāsor haviṣo mādayasva nirṛtiṃ gacchatu yad gatāsoḥ ||
19.30.1	yat tvā māṃse apavavau yan manthe yad odane | agniṣ ṭvā viśvabheṣajas tasmāt pātv aṃhasaḥ ||
19.30.2	yas tvā vāta āvāty adharād uttarād uta | āpo yā viśvaśaṃbhuvas tās tvā pātv aṃhasaḥ ||
19.30.3	apa tvan mṛtyuṃ nirṛtim apa yakṣmaṃ ni dadhmasi | yathā tvam arapā asa udojā uttaro bhuvaḥ ||
19.30.4	vaiśvānaro raśmibhir naḥ punātu vātaḥ prāṇeneṣiro nabhobhiḥ | dyāvāpṛthivī payasā payasvatī ṛtāvarī yajñiye mā punītām ||
19.30.5	prajāpatir ṛtubhiḥ pañcabhiḥ saṃvatsaro dhāmabhiḥ pātu viśvaiḥ | ihaiva prāṇaḥ sakhye no astu tam ātmani punar ā veśayāmi ||
19.30.6	vaiśvadevīṃ sūnṛtām ā rabhadhvaṃ śuddhā bhavantaḥ śucayaḥ pāvakāḥ | tayā gṛṇantaḥ sadhamādeṣu vayaṃ syāma patayo rayīṇām ||
19.30.7	vaiśvānarīṃ varcasa ā rabhadhvaṃ yasyā āśās tanvo vītapṛṣṭhāḥ | īḍayeha sadhamādaṃ madanto jyok paśyema sūryam uccarantam ||
19.30.8	avatkaṃ mama bheṣajam avatkaṃ parivācanam | narācy asi mā tudo vanvānā rogabheṣajam ||
19.30.9	śambhuleham ihā hara tam u kṣīrā ud asyati | tad āsrāvasya bheṣajaṃ tad u rogam anīnaśat ||
19.30.10	nadīṣu naḍvalāsu kumbheṣu kalaśeṣu ca pratīṣecanabheṣajam | tat te kṛṇomi bheṣajam addhi māṃsaṃ pibodakaṃ paṭpaṭiṅgaṃ vipaścalaṃ vi paśya ||
19.30.11	avidāma yad aicchāma piśācakṣayaṇaṃ haviḥ | tena kravyādo hanmaḥ sarvāś ca yātudhānyāḥ ||
19.30.12	icchanti tvā padātaya icchanti rathinas tvā | krīṇanti gobhir aśvair amṛtasyeva vā asi ||
19.30.13	amamri nāma bheṣajaṃ pṛthivyā adhy udbhṛtam | vaktā tan mahyam abravīd idaṃ ha pārayād iti ||
19.30.14	cakṣur asi puruṣasya cakṣur goś cakṣur arvataḥ | cakṣur bhūtasya bhavyasya cakṣur apsarasām asi ||
19.30.15	cakṣur asi suparṇasya cakṣur aher atho śunaḥ | cakṣuḥ sarvasya paśyato 'tho yad viśvam ejati ||
19.30.16	ādadānaṃ sahasrākṣaṃ pratispāśanam abruvam | darśaya mā yātudhānān darśaya yātudhānyāḥ ||
19.31.1	atīmām akhyaṃ pṛthivīm ati dyām ati sūryam | ati viśvam idaṃ bhūtam aty akhyaṃ yātudhānyaḥ ||
19.31.2	darśaya mā yātudhānān darśaya yātudhānyaḥ | aghāyūn sarvān darśaya- -iti tvauṣadha ā rabhe ||
19.31.3	evā sahasracakṣo tvaṃ prati paśyāsy āyataḥ | saho 'si yātudhānajambhanam ||
19.31.4	imāḥ pāre pṛdākvas triṣaptā nirjarāyavaḥ | tāsāṃ jarāyuṇā vayam akṣyāv api vyayāmasy aghāyoḥ paripanthinaḥ ||
19.31.5	viṣūcy etu kṛntatī pinākam iva bibhratī | viṣvak punarbhuvā mano 'samṛddhā aghāyavaḥ ||
19.31.6	apetaḥ paripanthino +'po aghāyur arṣatu | na bahavaḥ saṃ śaknavan nārbhakā abhi dhṛṣṇavan ||
19.31.7	pretaṃ pādau pra sphurataṃ vahataṃ pṛṇato gṛham | indrāṇy etu prathamā- -ajītāmuṣitā pathā ||
19.31.8	āyam agan phālgumaṇir balena baladāḥ saha | yenendro dasyūnāṃ vīrām̐ asurāṇām avātirat ||
19.31.9	varcasā māṃ payasokṣantu devā varcasā dyāvāpṛthivī ubhe | varco me devaḥ savitā dadhātu varco vipraḥ kaśyapo me dadhātu ||
19.31.10	varco ma āpo dadhatu varco me vīrudho dadhan | bhūtāni sarvāḥ saṅgatya varca ā dhur mukhe mama ||
19.31.11	yāḥ purastād vitiṣṭhante gāvaḥ pravrājinīr iva | vātīkṛtasya bheṣajīḥ pippalīḥ pārayiṣṇavaḥ ||
19.31.12	rudrasya mūtram asy amṛtasya nābhiḥ | pṛthivyāṃ mūlaṃ niṣṭhitam asi viṣāṇā nāma vātīkṛtabheṣajī ||
19.31.13	śaṃ te astu matasnābhyāṃ śaṃ yakne śaṃ talīdyai | śaṃ te pṛṣṭibhyo majjabhyaḥ śam astu tanve tava ||
19.31.14	na hi te agne tanvaḥ krūram ānaṃśa martyam | kapir babhastu tejanaṃ svaṃ jarāyu gaur iva ||
19.31.15	tveṣa iva saṃ ca vi ca roruvaṇyate yad uttaradrā uparasya khādati | śīrṣṇā śiro apsasāpso ardayann aṃśūn babhastu haritebhir āśubhiḥ ||
19.31.16	suparṇā vācam akratopa dyavy ākhare kṛṣṇā iṣirā anartiṣuḥ | ni yan niyanty uparasya niṣkṛtiṃ purū reto dadhire sūryasyutaḥ ||
19.32.1	bhagena mā śāṃśapena sākam indreṇa medinā | kṛṇomi bhaginaṃ mā- -apa drāntv arātayaḥ ||
19.32.2	yo andho yaḥ punaḥsaro bhago vṛkṣeṣv ārpitaḥ | bhago me astu śāṃśapo 'pa drāntv arātayaḥ ||
19.32.3	yathā vṛkṣām̐ abhyabhavaḥ sākam indreṇa medinā | evā mā bhaginaṃ kṛṇv apa drāntv arātayaḥ ||
19.32.4	apeto nīlalohitaṃ jātaṃ himavatas pari | kīśmīlam urvarābhyo divo jātam anīnaśam ||
19.32.5	abhrāj jātaṃ varṣāj jātam atho jātaṃ divas pari | atho samudrād jātaṃ kīśmīlaṃ nāśayāmasi ||
19.32.6	yo nīhārād yaḥ pruṣvā yo adbhyas pari jāyase | garbho yo vidyutām asi sa naḥ kīśmīla mṛḍaya ||
19.32.7	nodeyīḥ sikatā imāḥ sindhutas paryābhṛtāḥ | tābhir yamasya kīśmīlaṃ saṃbhṛtābhir anīnaśam ||
19.32.8	tvayā pūrvaṃ vibhīdaka saṃjitā asurā hatāḥ | tvaṃ sapatnacātano bhrātṛvyām̐ ava dhūnuṣva ||
19.32.9	vi bhinattu vibhīdakas tīkṣṇaśṛṅga iva ṛṣabhaḥ | atho sapatnān ā dattām atho hantu durasyataḥ ||
19.32.10	vyavadhīt sahamānaḥ sapatnān dviṣato me 'dharām̐ akaḥ | abhy abhūd bhūtyobhayām ||
19.32.11	ya āskandaḥ parāskanda ākhuḥ kakubha āt krimiḥ | upajīkām̐ upakvasān tān sarvān jambhayāmasi ||
19.32.12	api nahyāmy ākhor muñjena mukham āsyam | anadaṃ yathā carād apaitum urvarābhyaḥ ||
19.32.13	apinahyamukha ākhuḥ paroktaḥ prāṭparāṇutaḥ | śṛṇāmy asya dantān nir akṣau pādayāmasi ||
19.32.14	aśvinā sāraghena mā madhunāṅkta śubhaspatī | yathā varcasvatīṃ vācam āvadāni janām̐ anu ||
19.32.15	yaśā ahaṃ nimiṣate pratikhyātre yaśā aham | atraimi tad yaśā aham uta tatra yaśā aham ||
19.32.16	asmai ca sarvasmai bhūtāya sarvasmai ca vipaśyate | sarvasmā id ahaṃ yaśāḥ ||
19.32.17	apottudāporṇuhi yadīdam asti vā na vā | vyandhyaṃ vyalguṇaṃ cakṣur akṣībhyāṃ kṛdhi ||
19.32.18	aṅgaṃ hiraṇyayaṃ kṛtvā laṅgalāṣam armaṃ ca | tad devā apa lumpata ||
19.32.19	cakṣuṣman me mano astu cakṣuṣmad dhṛdayaṃ mama | cakṣuṣmac cittam astu me cakṣuś cakṣuṣmad astu me cakṣur ā dhehi me 'kṣyoḥ ||
19.33.1	somo rājā savitā ca rājā bhavo rājā bhuvanaṃ ca rājā | śarvo rājā śarma ca rājā ta u naḥ śarma yacchantu devāḥ ||
19.33.2	ādityair no bṛhaspatir bhagaḥ somena naḥ saha | viśve devā urv antarikṣaṃ ta u naḥ śarma yacchantu devāḥ ||
19.33.3	utāviddhāṃ niṣkhidata- -atho śrathnīthāyatām | mā no viśve devā maruto hetim asthata ||
19.33.4	apām idaṃ nyayanaṃ samudrasya niveśanam | madhye hradasya no gṛhāḥ parācīnā mukhā kṛdhi ||
19.33.5	āyane te parāyaṇe dūrvā rohatu puṣpiṇī | utso vātra jāyatāṃ hrado vā puṇḍarīkavān ||
19.33.6	himasya tvā jarāyuṇā śāle pari vyayāmasi | śītahradāya no bhuvo 'gnir dadātu bheṣajam ||
19.33.7	ayaṃ darbho vimanyukaḥ svāya cāraṇāya ca | manyor vimanyuko manyuśamano astu te ||
19.33.8	ayaṃ yo bhūrimūlaḥ samudram avagacchati | darbhaḥ pṛthivyāṃ niṣṭhitaḥ sa te astu vimanyukaḥ ||
19.33.9	vi te hanavyāṃ śaraṇiṃ vi te mukhyāṃ nayāmasi | yathāvaśo na vādiṣo mama cittam upāsāsai ||
19.33.10	yebhiḥ pāśaiḥ parivitto vibaddhaḥ parauparāv ārpito aṅgeaṅge | vi te cṛtyantāṃ vicṛto hi santi bhrūṇaghni pūsan duritāni mṛṣṭām ||
19.33.11	trite devā amṛjataina etat trita enan manuṣyeṣv amṛṣṭa | tato yadi tvā madhye na ārat tad ahaṃ tvad brahmaṇāpā karomi ||
19.33.12	marīcīr dhūmaṃ pra viśānu vātam udārān gacchota vā nīhāram | nadīnāṃ phenam anu tad vi naśyatu bhrūṇaghni pūṣan duritāni mṛṣṭām ||
19.33.13	agne rakṣaḥ prati daha yat kumbhyābhir ābhṛtam | anādhṛṣyaḥ sa yāsyaty abhūj jīvātave ayam ||
19.33.14	yan nakhavad yac chaphavat prasūmat kiṃ ca puṣpavat | urvā matsyo madhūlakaṃ tasya pāsyaty ayam anāsrāvam arogaṇam ||
19.33.15	yāḥ samudrāt prasravanti devīr himavatas pari | āpo yā viśvaśambhuvas tā ihā yantu bheṣajīḥ ||
19.34.1	tvacāpidhāne subhage datparistaraṇe kave | ekām iva vraje gāṃ pari tvā varcasāsicam ||
19.34.2	agreṇīr iva haṃsānāṃ prapaśyantī puras patham | jihve mā vivyatho mā yathāpūrvaṃ tvaṃ vada ||
19.34.3	varcasvad aham udyāsaṃ brahmarājanyābhyāṃ śudrāya cāryāya ca | yasmai ca kāmayāmahe sarvasmai ca vipaśyate ||
19.34.4	arvāñcau pādau pra hara- -arvācīnaṃ manas tava | arvācīnasya te ataḥ parāṅ manyuṃ ni vartatām ||
19.34.5	chāgalāde bhagavo 'rvāg jyote parastamaḥ | ā tvā khalajñakād asmāt punar ā vartayāmasi ||
19.34.6	yathā vrīhīn vrīhikhale samākurvanti tūlibhiḥ | evā te viṣṭhitaṃ manaḥ sam ā karomi mām abhi ||
19.34.7	tvam uttamaṃ surabhiṣāṃ mādhyamaṃ vahator asi | tvayā vadhūr vi jaṅgahe taṃ tvā varcasa ā dade ||
19.34.8	mūrdhnas te mūrdhanyebhyo 'gruvaḥ pativittyāḥ | aukṣaṃ śīrṣata ā dade ||
19.34.9	yaś ca svādmā te aṅgeṣu yaḥ premā hṛdaye ca te | taṃ tvad ā veśayāmahe mayi bhrājāti dīdyat ||
19.34.10	vātaraṃhā vājin bhava yujyamāna indrasya yāhi prasave manojavāḥ | yuñjantu tvā maruto daivyāsa ā te tvaṣṭā patsu javaṃ dadhātu ||
19.34.11	javas te arvan nihito guhā yaḥ śyene carati yaś ca vāte | tena tvaṃ vājin balavān balena- -ājiñ jaya samane pārayiṣṇuḥ ||
19.34.12	āsīyāne 'dhi manasa āsīyāne 'dhi cakṣuṣaḥ | āsīyānasya vātād bhūtvā- -ājiñ jaya samane pārayiṣṇuḥ ||
19.34.13	tanūs te vājin tanvaṃ vahantī vāmam asmabhyaṃ dhātu śarma tubhyam | ahruto maho dharuṇāya devā divyam iva jyotiḥ svar ānamīyāḥ ||
19.34.14	indro mā vakṣad akṣataṃ vṛtrahā yo vṛtañjayaḥ | sa me rathaṃ sa sārathiṃ so aśvān sādhu me nayāt ||
19.34.15	indro mā tena nayatu panthā yo abhayaḥ sugaḥ | dakṣiṇā pārayāti mā mā riṣaṃ samare yudhām ||
19.34.16	hṛtsuke pari ṇo nama pārigaṃ tanve kṛdhi | yuyuta parṇinaṃ śaram utāparṇaṃ riśād iti ||
19.35.1	viśve devā idaṃ havir ādityāsaḥ saparyata | asmin yajñe mā vyathiṣy amṛtāya haviṣ kṛtam ||
19.35.2	avyasaś ca vyacasaś ca bilaṃ vi ṣyāmi māyayā | tābhyām udbhṛtya vedam atha karmāṇi kṛṇmahe ||
19.35.3	yasmāt kośād udabharāma vedaṃ tasminn antar ava dadhma enam | kṛtam iṣṭaṃ brahmaṇo vīryeṇa tena mā devās tapasāvateha ||
19.35.4	vaiśvānaro ajījanad agnir no navyāṃ sumatim | kṣmayā vṛdhāna ojasā ||
19.35.5	sa naḥ pāvaka dīhihy agne vaiśvānara dyumat | jamadagnibhir āhutaḥ ||
19.35.6	divas pṛṣṭho arocathā agnir vaiśvānaro bṛhan | jyotiṣā bādhate tamaḥ ||
19.35.7	hariṇasya patatriṇaḥ śīrṣṇo bheṣajam ābhṛtam | tan nīlavad vi lokavat tad u kṣetriyanāśanam ||
19.35.8	anvamaṃstānumatir anvaṃaṃsta vṛṣāyavaḥ | kīnāśā anvamaṃsata- -anu gāvo amaṃsata ||
19.35.9	namo astv āyāmibhyo nīvibhyo hṛdayāya ca | namaḥ kṣetrasya pataye namaḥ kṣetrasya patnyai ||
19.35.10	ut te hārdiṃ śocayāmi hastenābhimarīmṛśat | keśin vṛṣaṇyayā tava muṣkau mūrdhā na śuṣyatām ||
19.35.11	agniṣ ṭvā tapatu sūryas tvā tapatu vātas tvā yuṅktāṃ marutaś ca yuñjatām | mṛgān marīcīr apy etu te manaḥ ||
19.35.12	ut tvā hanmi nipadanād ut tvā hanmi gṛhebhyaḥ | mā spṛkṣathā niṣadanāya sādhava ut tiṣṭha prehi sabhām ||
19.35.13	ut tuda śimidāvaty atho ulkāvatīṃ kuru | patye ca śvaśurāya ca ||
19.35.14	vibarhaṃ harāṃsayo rasaṃ jñānam ati bhruvoḥ | sākam ṛṣe vi nāśaya ||
19.35.15	sākaṃ vātasya dhrājyā sākaṃ sūryasya raśmibhiḥ | sākaṃ sūryeṇodyatā sapatnīṃ nāśayāmasi ||
19.36.1	dīrghajihvā bṛhadvāco yābhir ārdrāṇi vāsāṃsi | gāvo ghṛtasya mātaro divi bheṣajam akrata ||
19.36.2	arjunīnām apacitāṃ kṛṣṇā māteti susrava | muner devasya mūlena sarvāś chinadmi tā aham ||
19.36.3	chinadmy āsāṃ prathamāṃ chinadmy uta madhyamām | atho jaghanyām āsām ā chinadmi stukām iva ||
19.36.4	apehi manasas pate kim aśastāni śaṃsasi | parehi na tvā kāmaye vṛkṣān vanāni saṃ cara ||
19.36.5	avaśasā niḥśasā yat parāśasā- -upārima yaj jāgrato yat svapantaḥ | agnir viśvāny apa duṣkṛtāny ajuṣṭāny āre asmad dadhātu ||
19.36.6	yad indra brahmaṇaspata uta mṛṣā carāmasi | pracetā na āṅgiraso dviṣatas pātu tebhyaḥ ||
19.36.7	eha mām uttaraṃ kṛdhi sahasva pṛtanāyataḥ | vy asmat kṛtyā vy asmac chapathām̐ aja ||
19.36.8	yo no dudhūrṣān manasā yaś ca pāpena nobhyamāt | ākūtiṃ tasya devā hṛdaś cittāni vi ṣyata ||
19.36.9	aśva iva dhuri duryogaḥ pratīhāya vahe daśa | kṛtvānaṃ brahmaṇaspate daṃṣṭrābhyām abhi saṃ jahi ||
19.36.10	yo 'nyā adhi prājāyathā mūrdhno 'dhy ud avardhatāḥ | tvaṃ sapatnacātano bhrātṛvyām̐ ava dhūnuṣva ||
19.36.11	bahur ayaṃ saṃgaruṣṭo nyakto bhūmyām adhi | tenāham asya kartsyāmi yathā sthāmā gamiṣyati ||
19.36.12	sthāmāgan bṛhad akṣatraḥ sthāmantākṣṇiṇo 'va syati | antaṣṭhānasya yo rājā sa utthāma gamiṣyati ||
19.36.13	agamad rājā sadanam agamat sūryo divam | udayan vṛtrahan plīhā aṅgarājo avīrahā ||
19.36.14	yathā panthāṃ kavāpatho apyeti mahāpatham | evā tvaṃ plīhan naḥ plīhi yato 'sy abhyāgataḥ ||
19.36.15	indreṇa dattaṃ balam āsurābhyāṃ śitaṅgaitac chālvatāyai ca tubhyam | tau nudethāṃ kaṇvā aśivā ajuṣṭā adhā gṛhāṇāṃ gṛhapā tvam eṣām ||
19.36.16	tvam agne gṛhapatir gṛhāṇāṃ tvaṃ prajānāṃ janitāsi dātā | tvaṃ nudasva kaṇvā aśivā ajuṣṭā sadānvā nirataḥ seda pāpīḥ ||
19.36.17	carmābhyaḥ krūram ānahya hariṇasya bhiyaṃ kṛdhi | mṛgām̐ anu pra pātaya marīcīr anu nāśaya ||
